status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name
✅ Trip Verified ,,Family Leisure,Economy Class,Zürich to Tokyo Haneda via London,July 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Dear Community I feel compelled to share the utter frustration and disappointment that defined my recent travel experience with British Airways. Buckle up, folks; this one's a rollercoaster. On July 16 and 17, 2023, I had the displeasure of flying with British Airways on BA709 and BA7, and let me tell you, it was a nightmare. The initial flight from Zurich (ZRH) to London (LHR) on BA709 faced a seemingly unavoidable one-hour delay upon arrival at LHR. This, of course, resulted in me missing my connection to Tokyo, triggering an automatic rescheduling of my flight to Tokyo (HND) via Beijing with Air China. Oh, but the fun didn't stop there — flight CA183 was also delayed, turning my 16-hour delay into a grand total of 23 hours, finally arriving in Tokyo at 23:00 instead of the promised 7:10. And the cherry on top? My four checked-in suitcases decided to take a detour and didn't join me in Tokyo, forcing me to waste an additional two hours filling out forms at the baggage center. I finally got my lost luggage back on July 23, because why make it easy, right? But wait, there's more! My return flight from Tokyo to Zurich (BA8) on August 8 also danced to the delay tune, making me question if punctuality is just a myth for British Airways. The cumulative impact of these delays torpedoed my vacation plans, stealing a whole day of scheduled activities, including a guided Tokyo tour. As if that weren't enough, I had to dig deeper into my pockets for unforeseen expenses—extra airport transfers, tour operator assistance fees, emergency purchases, airport meals, and international calls for rearrangements. The lack of assistance at LHR airport was the icing on this bitter cake. Installing the BA app just to get basic information about alternative connection flights was a hassle, and the fact that no BA clerk could provide this info in person was downright infuriating. British Airways, you've left me with a sour taste in my mouth and a dent in my wallet. Here's hoping you take this feedback seriously and step up your game because right now, it's not a good look. Frustrated and fed up, Bert",british airways
✅ Trip Verified ,A380,Couple Leisure,First Class,London to Miami,November 2023,5.0,5.0,5.0,5.0,2.0,4.0,4,yes,9,  Quick bag drop at First Wing but too many passengers so had to use fast track security in main terminal. Direct entry to Concorde room outside security south. Ate excellent breakfast which was served promptly. Concorde room is a nice place to wait for a flight there is some interesting memorabilia and an excellent bar. Boarding from c gates was disorganised and slow. On board cabin crew excellent. Good choice of beverages and these were of high quality. Food was good. Seat comfortable. No first bedding provided. On time arrival into Miami. Baggage took 1 hour to arrive,british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,London to Stuttgart,November 2023,1.0,1.0,,,,1.0,1,no,1,"  4 Hours before takeoff we received a Mail stating a cryptic message that there are disruptions to be expected as there is a limit on how many planes can leave at the same time. So did the capacity of the Heathrow Airport really hit British Airways by surprise, 4h before departure? Anyhow - we took the one hour delay so what - but then we have been forced to check in our Hand luggage. I travel only with hand luggage to avoid waiting for the ultra slow processing of the checked in luggage. Overall 2h later at home than planed, with really no reason, just due to incompetent people. Service level far worse then Ryanair and triple the price. Really never again. Thanks for nothing.",british airways
✅ Trip Verified ,A320,Business,Economy Class,Brussels to London,November 2023,2.0,3.0,1.0,2.0,2.0,1.0,2,no,3,"  I recently had a delay on British Airways from BRU to LHR that was due to staff shortages. They announced that there was a 2 hour holding delay but they would board us immediately in hopes of clearing the gate and leaving early. We had to wait the full 2 hours inside the airplane. The plane was old, dirty, had no power at the seats. The staff provided a small bag of pretzels and 250ml of water to the passengers for 2 hour delay and 2 hour flight. There were no options to purchase food or drink. There were no entertainment options available. I am a OneWorld emerald elite member but they do not upgrade members based on status. First class lounges at Heathrow are overcrowded, understaffed and poorly equipped. The help desk is completely unhelpful when an error arises with delays and cancellations - even when having the top status. The Avios points system has been devalued to near worthlessness and requires fees to book reward that nearly equal the price of the revenue ticket. British has lost its way in recent years and has a moved from a world-class airline to a budget airline with much worse service and timeliness than Ryanair or EasyJet.",british airways
Not Verified ,A320,Couple Leisure,Business Class,London Heathrow to Dublin,November 2023,3.0,3.0,4.0,,,4.0,3,yes,8,"  Boarded on time, but it took ages to get to the runway due to congestion. Flight was smooth and quick. Snack and drinks were good for a short flight. Landed only about ten minutes late. One bag of three left in London, forms quickly filled in, and the bag was delivered the next morning.",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,London to Dublin,December 2022,3.0,3.0,,,,1.0,1,no,1,"  5 days before the flight, we were advised by BA that it had been cancelled and asked us to rebook. There were flights 1 hour before and 1 hour after our original flight but they made us take one 3 hours earlier. Our original ticket (and the return flight a week later) included a checked bag. When we arrive at Heathrow to check in we are told our ticket doesn't included a bag and we will have to pay 75 pounds each to take them. We explained that the original ticket had the bags and when they checked the system they confirmed that it did- but not this one! They would make no effort to sort it out and just told us to pay up or they would remove us from the flight. So we had no choice but to pay up, thinking it should be pretty easy to get a refund. 15 months and 10 emails later we have still not seen a penny. Every time I ask where my refund is and state how long we have been waiting I get an inane email saying some departments take longer than others to respond!  Absolutely hopeless airline to stuff up the booking in the first place and even worse customer service to not even attempt to solve the problem at check in even when they could see the mistake THEY had made in their system, compounded by being be unable to investigate a very simple claim, and refund me 150 pounds in 15 months.",british airways
Not Verified ,,Couple Leisure,Economy Class,London to Lisbon,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  
We traveled to Lisbon for our dream vacation, a cruise to Portugal and Spain. Our friends did not EVER get their luggage. It was a two week cruise. Two weeks without a change of clothes or her CPAP machine. Contacting customer service was a nightmare. We never talked to a real person. Very little effort was put into getting them their bags. In one port we were on the ship and the bags were at the airport. The airlines did not deliver the bags nor did they tell our friends that they needed to go get them. The airline couldn’t be bothered to take the bags from the airport to the ship. BA says it is their policy to get you your bags within 72 hours. That is a joke! It’s been over two weeks and they still don’t have them. They are back home in the US and last they heard the bags were in Lisbon! If your have a choice, do not fly British Airways. Customer Service is non existent!",british airways
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Bucharest to Manchester via London,September 2023,1.0,1.0,1.0,1.0,,1.0,1,no,1,"  Booked a flight from Bucharest to Manchester with a 2h 45’ layover at Heathrow. Flight was delayed from Bucharest because of ATC strike. Arrived at Heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight. Unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage (it’s a common problem with BA at Heathrow). I missed my connecting flight because of their delays and they told me I had to wait all night in a freezing airport for the first flight the next day. There was just a shameful 10£ food voucher which is a joke considering the ridiculous prices at LHR. No accommodation offered and had to sleep in a very cold airport. I asked for compensation and they sent me a long text with the same lame excuses that they are sorry, but they will not compensate anything.  I can’t imagine a worst airline than BA regarding customer care. It is not about money here but rather than the way they treat customers. It is the last time in my lifetime that I will be flying this joke of an airline.",british airways
✅ Trip Verified ,Boeing 777-300,Couple Leisure,Premium Economy,Manchester to Cape Town via London,November 2023,5.0,5.0,4.0,4.0,,4.0,4,yes,8,"  Booked online months ago and the only hitch was replacement aircraft meaning chosen seats were different. I was informed of this prior to departure so could amend. Bag drop at MAN T3 wasn't smooth but I suspect that was MAN fault. Shuttle boarding was slow and delayed meaning a rush at LHR T5. The flight to CPT was full but we left more or less on time. The cabin was clean and PE was what we expected, sufficient leg and arm room plus a few little perks with drinks. Only complaint is the seats actually recline too far. Staff were very good during the first few hours of service, especially George. Food was quite tasty but one option wasn't loaded. Breakfast was also quite tasty and we landed on time. The fly in the ointment is both our cases arrived late on the carousel and only later did we notice both had been broken into, likely at CPT. All in all a pleasant surprise.",british airways
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Seville to London Gatwick ,November 2023,3.0,3.0,3.0,,,3.0,3,yes,7,"  The flight was on time. The crew were polite. It was the same story on my outward flight. I find that BA in Europe is generally pretty good, though I regret that they have substituted Prosecco for Champagne on the list of drinks you can buy in economy! So many complaints about BA and other airlines revolve around lost luggage that I never check in bags, even for long trips.",british airways
Not Verified ,Boeing 777,Family Leisure,Economy Class,London Heatrow to Atlanta,November 2023,4.0,5.0,4.0,4.0,3.0,3.0,5,yes,2,"  Angry, disappointed, and unsatisfied. My route was from London to Atlanta. My suitcase was not boarded, therefore not landed with me. For both comfort and safety reason, a bag always fly with its passenger and that did not happen. Claims and few phone calls were made by desk assistants who answered my questions unprofessionally and miserably. Certainly, I was left with nothing but my backpack which contained not more than few snacks. Neither clothes nor anything else was ever provided as an apology. Meanwhile, I was also told that my bag would have been delivered through the next 24 hours which also did not happen. British Airways is a great airline to fly with but its organization, when it comes to customer service, is poor and uncertain. Still waiting for my bag.",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,Gatwick to Antalya,October 2023,3.0,3.0,1.0,1.0,1.0,3.0,1,no,3,"  As an infrequent flyer, British Airways was always my first choice. With some reassurance and comfort of service, quality, luggage allowance etc. In fact I’ve never flown with the budget airlines. My most recent flight has now changed my view and causes me to reflect on what am I actually getting for my money and is BA what they once were. While the flights were around an hour delayed both ways, the cabin and ground staff service were ok. It is the facilities (or lack of) that I am most disappointed by. The flight was Approx 4 and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake. In fact on my return journey I wasn’t even offered the water! To top it off BA no longer have a media screen from which you can select something to pass the time away. There wasn’t even the obligatory flight journey. The WiFi was poor. I couldn’t even access the shop. However, for a fee so much more was available. This explains BAs record profit of £1.52bn. So, the question is, what am I paying for? I will now for sure opt for the budget airlines. They are transparent with what they offer and what you have to pay for, which I can decide to choose or not. As BA now stands for Basic Airways I’ll go elsewhere and get basic for cheaper.",british airways
Not Verified ,A320,Couple Leisure,Business Class,Dublin to London Heathrow,November 2023,3.0,3.0,,,,4.0,3,yes,8,"  A totally unremarkable flight, on time, as comfortable as European configuration goes. No catering due to the storm - effect greatly exaggerated. This was advised by email, and a euro 15 was provided - not easy to use - but lounge made up for this loss.",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,October 2023,3.0,3.0,3.0,3.0,3.0,1.0,1,no,1,"   1. Ground crew in Heathrow left 60 passengers luggage. We had 3 bags. 2. The Heathrow ground crew left 1 of ours behind after the 1st two were received the next day. 3. The Heathrow ground crew lost our 3rd bag 4 times and we were on the phone with them for over 3 hrs over the course of the week! 4. Due to this, we had to spend $500 on health and beauty items for my wife on our cruise. 5. British Airways said they MIGHT reimburse after 3 months. 6. We had to spend $100 in cab fare to Barcelona because the Bacelona ground crew (Iberia) claimed they had delivered it to us. 7. Heathrow ground crew made us 15 minutes late arriving back into Heathrow after our cruise. We actually landed 10 minutes early, but those incompetent people still were not ready for us. 8. The Heathrow ground crew caused us to leave 45 minutes late even though ALL passengers were boarded and ready 15 minutes before the departure time. This will probably mean we will miss our connection in Anchorage. BA clearly does not care or know how to operate a ground base...shameful. BA is a joke and should be embarrassed they can't operate like a normal airline. They do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people.",british airways
✅ Trip Verified ,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2023,3.0,1.0,1.0,,1.0,3.0,2,no,6,"  London Heathrow to Gibraltar on 24th October 2023. I shall start by reference to the booking process. I used the BA website to reserve the seat and food the website to be easy to use and clear in every aspect. The flight was due to depart from terminal 3 but the passengers were bussed for a good 15 minutes to a different part of the airport where the aircraft was on a stand. When boarding the flight the cabin-crew kept a very low profile and this was maintained during the entire flight. The captain made 3 brief announcements during the flight. There was no in-flight entertainment. The seats were clean and comfortable enough for a short flight. The lack of catering was overt. Other than a tiny bottle of water and an inedible “breakfast bar” one had to use an online system to order even a drink and of course pay for it too. The passengers next to me could not use the online system as it doe not seem to work and the cabin refused to sell them a coffee because of this fault. Moreover, the USB charge points did not work either. Given the early hour of the flight it is a poor show that there are not even for sale items available from a trolley service. The system BA have in place is not good enough. The flight arrived on-time. The disembarkation was inefficient though and poorly managed and the crew were not to be seen. The crew were wearing the new BA uniform and it seems to reflect a downward trend of the airline. To be candid, there was any difference between this BA service and that of so-called “budget” rivals. On this route BA have a monopoly and so I did not have an option to use the services of a different company.",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,London to Philadelphia,October 2023,4.0,5.0,4.0,3.0,,5.0,5,yes,8, First time flying British Airways and I would not hesitate to fly economy with them again. Flight attendants were pleasant and efficient. Excellent special meal (low sodium). Comfortable space in economy. One of my better flights.,british airways
Not Verified ,A321 neo,Business,Economy Class,London Heathrow to Cairo,October 2023,3.0,5.0,3.0,,,5.0,2,yes,7,"  I flew London to Cairo and return in October 2023. It was basically a perfectly good pair of flights in Economy, with pleasant and professional cabin crew (especially on the return journey). Being only 1.73 m tall I have no problem with legroom in the back of the plane, the seat was OK if getting a little numbing after 5 hours, and the return of a rather good included snack box and drinks was welcome. However, it must be said that the value for money was poor: with a checked bag on the return leg only, this was a nearly £700 ticket. And although I am content to pass the time by reading or sleeping, it was surprising to find no in-flight entertainment on 5-hour flights. However, overall I would still recommend BA and would do so even more enthusiastically if it was more sensibly priced.",british airways
Not Verified ,,Couple Leisure,Economy Class,Seattle to Porto via Heathrow,October 2023,2.0,3.0,3.0,3.0,3.0,1.0,1,no,1,"  Absolutely the worst experience ever.  Flew into Heathrow, no problem. Waited for 5 hours, three extra hours, for our connection to Porto then the cancelled the flight. Scrambled for a hotel and a new flight the next day. They routed us through Madrid the next morning. That flight was 1.5 hours late so we missed our connection to Porto. Because we missed the connection (their fault), they cancelled our return flights. After two hours on the phone with customer service from the Madrid airport, they booked us a new return flight, then they made is pay $ 1300 to fly from Madrid to Porto. Then, for no reason they cancelled our return flight again! After hours, and hours and hours with customer service, we finally got a return flight five days after our original return flight. Meanwhile, they lost my wife's luggage. We finally got 15 DAYS after they lost it. Return flight? More problems with our reservations. At no point was British Airways helpful. They left the onus on us to fix their mistakes at every turn. They completely ruined a three week vacation and they don't care. They wouldn't even let us speak to a supervisor or manager. Awful, bordering on passenger abuse.",british airways
Not Verified ,A320,Couple Leisure,Economy Class,Malta to London Gatwick,October 2023,4.0,5.0,3.0,,,4.0,4,yes,8,"   Flew back from Malta after scattering our son's ashes at his favourite spots. When we boarded the aircraft for our return flight my wife became upset. A member of the cabin crew noticed this and immediately spoke to my wife and tried to reassure her. Her name is Tracey, an exceptional crew member. I noticed she spoke to other travellers in a courteous manner and was friendly. Each time she passed my wife she asked how she was and would she like anything. This kindness made a difficult time easier for us both. Aircraft seats were comfortable and service good for a 2hrs. 45mins. flight. Thank you B.A.",british airways
Not Verified ,,Solo Leisure,Economy Class,London to Amsterdam,October 2023,1.0,3.0,,,,2.0,1,no,3," Cabin luggage had to go to cargo, even when I said I carried medicines. There was no time to get them out the hand luggage. The economy seats with Virgin Atlantic, KLM and even Ryanair have more space. Luckily it was a short flight.",british airways
✅ Trip Verified ,A380-800,Solo Leisure,Economy Class,San Francisco to London,October 2023,3.0,2.0,2.0,3.0,,2.0,3,no,4,"  I have been using BA for a while now and on average I cannot say that I am pretty satisfied. BA somehow experience cancellations and delays most of the time. Second, the in-flight service is usually weak. Food portions are small and cabin crew is not very helpful especially when it comes to drink requests. The screens in the A380s should be renewed as they are full of scratches and same size as A321s. Especially in longer flights, the entertainment system becomes more important. There is also no welcome package except for pillow and small blanket. I would expect more from BA. If you are flying from the US to anywhere except the UK, I would recommend considering other airlines. But if you are flying to/from UK directly, then BA could be one of your choices.",british airways
✅ Trip Verified ,,Solo Leisure,Business Class,İstanbul to London,October 2023,2.0,1.0,1.0,1.0,1.0,2.0,1,no,1,"   I flew from Istanbul to London in Business class. For more than half of the flight a child was watching an iPad very loud with no phones plugged in - it was three rows in front of me and disrupted my flight as I could hear it above my headphones. Staff thought this was fine and refused to tell the mom to turn it down. Why is this acceptable on a flight especially in business class? Has this airline turned into a zoo? Are staff given no training in customer service? Why is a child allowed to disrupt other passengers? When I told the staff she just laughed at me. BA customer service is a disgrace. I've not even mentioned the food but it was bad, really bad.",british airways
Not Verified ,,Couple Leisure,Economy Class,London to Austin,October 2023,1.0,1.0,1.0,5.0,,1.0,1,no,1,"  I have flow on BA several times since the airline started non-stop service between Austin, TX and London Heathrow. Every year the service gets worse. I brought a tape measure with me to see how far apart the seats are in the economy section. 25½ inches. BA has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft. Thankfully I'm not a big person and was able to squeeze into my seat without being too uncomfortable. When BA first started flying out of Austin, the food was great. Now, when I arrive at Heathrow, I get real food and take it on the plane with me. I don't know where or who makes BA's food, but it is not eatable. If BA did not have a direct flight from my hometown to London, I would fly with a different airline. When we checked into Heathrow, the line was extremely long and only one person was checking people in. It took nearly an hour to get to the counter. I understand airlines are making record profits and need to make up lost revenue from the pandemic, but I think BA has gone too far and has little concern for customer service in pursuit of profits.",british airways
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Geneva to London Heathrow,October 2023,1.0,2.0,1.0,,,1.0,2,no,1,"   The flight departed over an hour late due to a late inbound plane. The plane was very full, and half of the economy class passengers were forced to check in their larger cabin baggage at the gate when boarding, making a complete mockery of the hand luggage allowance advertised. Lots of passengers on board were stressed out about missing onwards connections due to the delays (and some did miss them as their next gates had closed by the time we disembarked at Heathrow). Onboard service was ok but minimal  - BA gave up being a full-service airline some time ago. More concerning is that trying to get hold of customers services to make changes to bookings and deal with problems was non-existent. The airline seems to make it deliberately hard for its customers to contact it.",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,Istanbul via London,October 2023,1.0,3.0,3.0,4.0,,1.0,1,no,1,"   I hate British Airways! We get to London on Oct 3 and our next flight is cancelled. We stand in line with 1200 other people to get it fixed and they tell everyone to leave the airport and call them to fix. They book us the next day..via online. Don't offer vouchers for hotel, we will miss our tour. Now trying to get home from Istanbul. Plane is here but should have started loading an hour ago. No explanations. May miss next flight. Will never travel with them again. Was this same problem April 2022 flight.",british airways
✅ Trip Verified ,A320,Couple Leisure,Business Class,Porto to London ,September 2023,4.0,5.0,4.0,,,1.0,4,no,5,"   Our BA flight from Porto to London Heathrow T5 was operated by Finnair using a Finnair plane and crew. This had been advised by BA shortly after booking, with the option to change flights if we preferred. Although the business class cabin was of a similar layout to BA Club Europe, i.e. with the middle seat kept free, my wife and I felt the seats were more comfortable and the legroom slightly better. Service was good on board and the meal was very tasty (we chose the beef cheeks). All was good until we landed at Heathrow! Although we passed through passport control without delay, once we were at the designated baggage reclaim, we just waited and waited! After an hour and ten minutes I went to the BA baggage counter to ask what was going on. They seemed unaware of an issue, but said they would find out! Over the next hour or so various other passengers also requested information and despite various announcements and a list of different excuses it was almost 2½ hours before the bags finally arrived. Frustrating to say the least. I subsequently complained to BA, but after 4 weeks there has been no explanation just the automated message from customer services ‘we are experiencing exceptionally high volumes’. This response says a lot!",british airways
✅ Trip Verified ,A320-232,Solo Leisure,Economy Class,London Heathrow to Geneva,October 2023,2.0,4.0,1.0,,1.0,1.0,4,no,3," The customer services (call centres etc) are atrocious and sometimes callous. They just don’t care. Long waits to speak to anybody, who then have no power to actually solve anything, and the calls just cut halfway without resolution anyway. If the flights are cancelled (as were my original ones) you’re really left on your own and nobody cares. The onboard services are so-so but for short haul it’s now “semi-low cost” which is confusing as you never know what to expect. This time we were given a bottle of water and a (very) small snack, whilst anything else had to be paid for. And yet on some other flights apparently you have to pre-order any additional food. It’s confusing, which makes it not dependable. Cabin baggage is in theory generous compared to competitors in economy but then they asked more than half the passengers on this flight to check in the cabin baggage at the gate due to lack of space in the overhead cabins, leading to long boarding delays. Their whole offering hasn’t been thought through very well . The USB power supply did not work throughout the flight (contrary to the announcement that the power be available after the seatbelt sight was turned off ) so it was pointless providing the sockets in the first place. Not my first choice airline on this route and am just trying to use up most of my Avios points before I totally abandon them. I fail to see how it is deemed a 4 star airline.",british airways
✅ Trip Verified ,A320,Business,Business Class,London to Istanbul,October 2023,3.0,4.0,1.0,1.0,1.0,3.0,2,no,5,"   I am a frequent flyer with BA and have been for the last 15 years. Having noted the ratings given, frankly, I cannot understand how BA scores three stars for most aspects of its service. In a nutshell, BA has placed profit margins over passenger appreciation. This fact was hammered home on my return leg, which was not in Club Europe. Quite alarmingly, BA appears to place profit over passenger safety by extending its ""Business Class"" seating up to and beyond emergency exit rows and then failing to ensure those seated in exit rows have the physical capacity to actually open the door incase of an emergency. I was not at all reassured to see an elderly and slightly built woman seated with the responsibility of opening the overwing exit should the need have arisen. Short-haul business (Club Europe) is simply a joke and only useful for gaining valuable tier points for lounge/pre-boarding benefits. While cabin crew service is excellent, the lack of space and reduction in refreshment choices, etc. places them a million 'air'miles behind competing airlines, such as Qatar, Turkish or Emirates who understand the true definition of customer appreciation and hospitality. BA has consistently eroded the value of their Executive Club and seems to be of the impression that recent changes in obtaining avios points during the booking process benefit passengers - really? I want to support BA and did enjoy flying with them up to the point when they started penny pinching and became more deserving of the name ""Budget Airways"" The attached photos taking during my most recent itinerary highlight the difference in customer care/appreciation between British Airways and another airline used in this trip. Both flights were around 4 hours in duration, on the same day. Guess which one is shows BA's in-flight offering!",british airways
Not Verified ,,Couple Leisure,Economy Class,London Gatwick to Punta Cana,October 2023,3.0,3.0,3.0,2.0,,2.0,2,no,4,"  Flew with BA to Punta Cana. Took the trouble to reserve seats for both outbound and inbound flights. On boarding at Gatwick, realised we had been moved to much less good seats with other people sitting in the seats we had spent a lot of money reserving. Apparently there has been a change of aircraft and a number of passengers had been automatically reallocated seats for no particular reason. The crew said there was nothing they could do (although of course they could just have swapped us with the couple using our seats). We were told to claim a refund on return home. We did this via a complaint form Ns BA offered us £100 in vouchers. We didn't accept this as it was less than the cost of the seats and also naturally we wanted our money back. We eventually got it but not without a fight. Very second rate shoddy airline.",british airways
✅ Trip Verified ,,Solo Leisure,Business Class,London to Hong Kong,July 2023,1.0,5.0,3.0,3.0,,5.0,1,no,1,"   They downgraded me from business to premium economy. They took three months to get back to me and offered me 200 pounds or 400 AUD. The difference between business class and premium economy (which I never fly) is $3000 AUD and the difference between economy and business is $6500 AUD. They owe me at least 1500 pounds and to be very fair 3250 pounds. The downgrade was insulting and incredibly painful as I had a recent cancer operation and have a back injury which I have pointed out to them - I need to lie down. The wait for them to get around to me has been numbing. The insult of their offer has been the slap in the face to continue my degradation. The people I have dealt with at the airport have been down to earth, honest hard working people. The actual staff on the plane were warm and friendly - and helpful. The systems under which BA operates are some sort of medieval torture.",british airways
✅ Trip Verified ,A320,Couple Leisure,Economy Class,Catania to Gatwick,October 2023,1.0,1.0,1.0,,,1.0,1,no,1,"   The already delayed aircraft landed and apart from the small BA logo on the rear of the fuselage, there was no indication as to whom the carrier really was. Boarding turned into a farce with passenger groups being told to wait in one queue in order to board, only to be informed we were on the wrong place and our boarding wasn't allowed yet. The interior cabin was reminiscent of a BA cabin from twenty years earlier except the tight legroom and uncomfortable seating which made a budget airline feel luxurious. The crew were not BA but from an unknown charter company. Service was slow, and as usual, choices of food to purchase ran out before they'd reached row 24. I requested a cup of tea which never appeared. Thank goodness for my airport purchased water and the tiny offering of pretzels. The over officious senior flight attendant, who'd been facilitating in 'Club Europe' appeared in economy and immediately slammed down the armrests (whilst still in mid flight) making an already uncomfortable journey feel worse. ""Cattle class"" was definitely that! To say I was happy to land and disembark was an understatement. Never again BA, never again!",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,Gatwick to Venice ,September 2023,,,,,,1.0,1,no,2,"   Caught up in the Gatwick cancellation fiasco; at some point between what was smooth check in (unable to do online as part of group travel) and security, the flight was cancelled; (we were denied entry to security and departures as a result). It was at this point that we discovered BA Gatwick are not BA, but a masquerade, who are unable to help and and provide very little assistance unless the 'real BA' provide information, and even though our baggage was now airside, didn't have a clue as to how we could get it back. It is, however, with thanks to a supervisor from Business Class check in, who came to our assistance and help with our predicament- baggage retrieval, information on what to claim and how, and our revised BA flight from LHR the following evening. (Difficult to give a rating for cabin service as we didn't even board the aircraft)",british airways
✅ Trip Verified ,A321,Solo Leisure,Economy Class,Berlin to London,October 2023,3.0,1.0,1.0,,,1.0,1,no,1,"   BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late.",british airways
✅ Trip Verified ,,Couple Leisure,Economy Class,Atlanta to Glasgow via London,September 2023,3.0,3.0,1.0,4.0,4.0,1.0,3,no,1, Our connecting flight from London to Glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight. When we received our luggage at Glasgow we discovered that our luggage was soaking wet. My wife’s luggage contents were wet and had to be air dried.,british airways
✅ Trip Verified ,Boeing 787,Couple Leisure,Economy Class,Singapore to Sydney,October 2023,1.0,1.0,2.0,1.0,,1.0,1,no,1,"   The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment.",british airways
✅ Trip Verified ,Boeing 777,Solo Leisure,First Class,London to New York JFK,October 2023,5.0,5.0,5.0,4.0,5.0,5.0,5,yes,10,"   Excellent service levels, proactive crew and superb food and beverages. I found all aspects of the service to be superior to BA business class, even the new BA Club Suites. First Class felt exclusive, the dedicated crew were clearly used to working the premium cabin, enjoying their work, were proactive, friendly, very respectful and the food and beverage offering a considerable step up from business class. The seat, with sliding double doors was spacious, well designed and very comfortable.  British Airways offered a solid First Class service, from Concorde Lounge to boarding (which was actually by group number for a change) to the very warm and genuine welcome on boarding. A consistent, solid, comfortable service from start to finish and if the price was right, I would not hesitate to book First Class with British Airways again.",british airways
Not Verified ,BA366,Couple Leisure,Business Class,Heathrow to Marseille,August 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Booked a very special holiday for me and my partner, September arrived and we were on our way to lovely South of France, Booked Business Class for us both to start the holiday right. As we were checking I was told the flight was over booked and our seats wouldn't print onto the ticket for some reason. We had already made sure the seats were booked when we had booked the flights nearly a year prior to going. Unfortunately when we arrived at the gate we were then told we would no longer be sat together and one of us would in fact have to go into economy. My girlfriend is an extremely nervous flyer and so had to take extra tablets to remain calm, She didn't have any food which we had pre booked also and she was sat right down the bottom end of the flight. We were held at the gate with another 4 or 5 couples all in the same predicament all due to the lovely money grabbing British Airways over booking the flight. They ended up refusing passengers in the end and even had people sat on the fold down chairs in the toilet area. When we eventually arrived in France late, we was waiting for our luggage to come. Our airtags stated that both our cases was in fact still in Heathrow. We then had to wait 4 days for them to eventually come into France by this point our holiday was ruined. British Airways was absolutely shocking, we couldn't speak to anyone as all the phone numbers were no longer in use. We felt stranded in a foreign country with no clothes and no one to help use with what to do next. Every day we watched them case not moved as we were tracking with air tags. it was so frustrating not being able to plan our days in hope we would get the call to then drive all the way back to the air port 2 hours each way to collect our cases. we ended up going out and buying new clothes toiletries and all the stuff to make the best of our ruined holiday, saving all the receipts thinking we would be able to claim it all back. how wrong I was. British airways take zero responsibility and fob me off with going through my insurance. British Airways only pay for basic essentials, Pants and toothpaste. I filed a complaint when I got back and requested my money back for business class and they haven't even had the decency to even respond. They are an absolute joke of a company and I wish they would remove British out of there name because there is nothing British about them. Do not give them your money, they cant even look after their staff let alone customers. Oh and don't bother trying to cancel your flight either as they just take all of your money off you and give you nothing back.",british airways
Not Verified ,A380,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,October 2023,2.0,3.0,1.0,,,2.0,2,no,2," Just returned from Chicago, flew out 10 days ago on American Airlines absolutely superb in every way, had high expectations on return flight with BA. What a disappointment. The Airbus A380 may be nice from a pilots perspective but as a passenger it was awful. Very uncomfortable seats, the inflight entertainment and flight tracker failed to work throughout the flight, the inflight meal was inedible and the service was mediocre at best. Our short flight from Heathrow to Manchester was much improved, very welcoming and attentive in flight staff and the flight even arrived early. In future we will travel with one of the American carriers. ",british airways
