Passenger Name,Review Date,Airline Name,Airline Average Rating,Cabin Flown,Passenger Overall Rating,Overall Value for Money,Seat and Cabin Space,Customer Service,In Flight Entertainment,Baggage Handling,Check-in Process,Meals and Beverages,Recommend Airline,Passenger Review Text
Joshua,"February 14, 2016",Bahamas Air,3.8,Flew Economy,5.0,3,2,4,1,,,0,No,Bahamas air really need to work on on time performance. In Fort Lauder dale we waited about 45 minutes before our flight come.
Ashley,"August 17, 2015",Bahamas Air,3.8,Flew Economy,9.0,5,4,5,0,,,3,Yes,"I’ve been flying BahamasAir on a regular basis since childhood and have always had a safe, enjoyable experience.  Flights can be somewhat prone to delay due to tropical weather, but they’re certainly no worse than any American airline.  Due to all the island-hops they do, the pilots are famed for their exceptional takeoff and landing skills, so much so that it’s common for American pilots to do training with the carrier."
Eric,"May 27, 2014",Bahamas Air,3.8,Flew Economy,0.0,2,2,3,0,,,2,No,"If you can afford to be late, then by all means, take this airline. But if you want to be somewhere on time, don’t ever ever ever book with this airline. Let me tell you my nightmare."
philip,"July 26, 2022",Bamboo Airways,9.0,Flew Economy Class,8.0,4,4,4,0,3,4,3,Yes,Flew Saigon to Haiphong  Just minimal delays Premium  Economy standard No complaints
Gary,"October 8, 2019",Bamboo Airways,9.0,Flew Business Class,10.0,5,4,5,3,5,5,4,Yes,Bamboo Airways the newest full service airline to commence operations in Vietnam. I travelled from Hanoi to Danang return Business class. Website a little clunky but satisfactory as was web check in. Ground operations were very impressive with a personal escort from business counter through dedicated security and to club lounge. Lounge equally impressive currently shared with Vietjet whilst new lounge under construction.  By far the best domestic lounge experience in Vietnam. Similarly escorted from lounge to gate when boarding commenced..
Thomas,"September 8, 2022",Bangkok Airways,7.7,Flew Business Class,9.0,4,5,5,0,4,5,3,Yes,"There deserve to be called Asia’s favourite boutique airline. Everything about flying Bangkok Airways was a pleasure. From efficient check-in to friendly staff on the ground and in the air. But, most importantly the comfort of the business class seats. They are from an era in aviation when comfort was king. Okay, so there was no in-seat entertainment screen – but who still needs those anyway?"
Ron,"March 24, 2018",Bangkok Airways,7.7,Flew Economy Class,9.0,5,4,4,0,,,4,Yes,"Chiang Mai – Bangkok flight. I was able to get a seat uptake front of the plane, and as I didn’t have any check in, I went direct to the lounge that Bangkok Airways provides all its passengers — with wifi, newspapers, drinks and snacks, better in my opinion than its major domestic competitor’s business class lounges. It’s a great reason to fly with them. The flight was on an old A320, but was pleasant. The only thing I disliked about the flight was the use of buses to the aircraft in Chiang Mai and from the aircraft in Bangkok, and that seems to happen quite often. Otherwise I would give them 10/10."
Jacques,"May 23, 2017",Bangkok Airways,7.7,Flew Economy,10.0,5,4,5,0,,,4,Yes,"I flew Bangkok Air from Phuket to Bangkok. What a pleasure to fly with them. You are not treated less because you only fly economy class. The cabin crew are well trained, extremely friendly and the entire trip was a pleasure. The service I got on this airline is way better than what I received from a major airline like EMIRATES. Bangkok Air stands out heads above the others.!! Well done Bangkok Air."
Andre,"April 1, 2017",Bangkok Airways,7.7,Flew Economy,8.0,3,4,4,0,,,4,Yes,"Ko samui to Chiang Mai- Very good airline, they can be pricey but their service is supreme! quick check-in, flight on time, on the waiting hall in Samui they offer free snacks in case you didn’t have breakfast! No complaints at all and would fly them again if given the chance!"
Chris,"March 23, 2017",Bangkok Airways,7.7,Flew Economy,10.0,5,4,5,0,,,4,Yes,"I love Bangkok Air, took 2 flights from BKK to Chiang Mai and BKK to Koh Samui. One of the best companies I took. Attendants are really, really nice and professional. Even for short flights they serve a good meal!!! Rates are fine as well. I really recommand this airline!"
Ove,"March 3, 2017",Bangkok Airways,7.7,Flew Economy,10.0,5,5,5,0,,,5,Yes,Bangkok to Chiang Mai onFeb 25. Fantastic one hour flight. I was supprised that were served a full hot meal on such short and also cheap flight.
Graham,"January 20, 2017",Bangkok Airways,7.7,Flew Economy,8.0,4,4,5,3,,,4,Yes,"Use this airline for the BKK-PNH leg, always fly economy as its only 50 mins. generally the airline is on-time. it’s comfortable and reliable."
Dave,"October 9, 2016",Bangkok Airways,7.7,Flew Economy,1.0,1,1,1,1,,,3,No,Lack of customer service. Asked to speak to a manager and was told they were off that day. Had to refund my ticket (30 day process) and reissue new ticket at airport. Next time I will travel another carrier.
Deborah,"September 22, 2016",Bangkok Airways,7.7,Flew Economy,8.0,5,4,4,1,,,0,Yes,"Positively surprised. For us it was the first time to fly with Bangkok Airways on a domestic flight within Thailand and we were positively surprised. Free wifi in the airport, friendly service and free drinks, as well as free snacks at the airport, which made the waiting time very pleasant."
Pui,"August 30, 2016",Bangkok Airways,7.7,Flew Economy,9.0,3,3,5,0,,,4,Yes,"I am an ex-pat living in Koh Samui and have flown Bangkok Airways dozens of times to many destinations including Hong Kong, Singapore, Kuala Lumpur, Phuket and Bangkok. I have flown both business (blue ribbon) class as well as economy. I have also at one point qualified for their Premier frequent flyer category for one year which provides access to their Blue Ribbon (business class) Lounge for you and a traveling companion even if you fly economy, as well as separate check-in line.  I have always found this airline to be very friendly and efficient, with superior in-flight service. Considering the short haul of most flights, their meal/snack service is perfectly adequate. It does vary considerably depending on flight though. The ATRs seem to get a small cold meal like a sandwich, whereas the Airbuses get a normal hot meal. The Blue Ribbon Lounge is as good as any business class lounge for other airlines, especially at BKK Airport with multiple massage chairs and private TV lounge areas. Their normal lounge that all passengers are eligible for is also a very nice perk of flying with Bangkok Airways, serving snacks like chicken pastry puffs, small sandwiches, brownies & sticky rice."
Stephen,"July 22, 2016",Bangkok Airways,7.7,Flew Economy,10.0,5,4,5,0,,,5,Yes,I have flown with Bangkok Airways on numerous occasions both on A320/319 and ATR’s  and have always found the flight and service to be exemplary. Their frequent flyer program is free to join and the points quickly accumulate and can be taken as free flights. Their free lounges are a god send and are available to all who have a ticket. I have flown with all the other carriers in Thailand and have found Bangkok Airways to be the best by a country mile. I wouldn’t fly with anyone else.
David,"January 30, 2016",Bangkok Airways,7.7,Flew Economy,3.0,2,2,4,0,,,3,No,Rather disappointed with my recent trip with Bangkok airways. Old Airbus planes that are ready to finish service which could clearly be seen by how dirty they were externally. They were very dirty inside also. Marks on seats and tray table. Seat I was sat in was broken and rocked back and forth during the flight. I’m not sure if this is safe as it felt not to be correctly fixed down. I’m just glad I only had to endure sitting on those aircraft for 2 hours. Any longer would have been hell!  This airline also managed to damage my brand new luggage. I will not recommend them and will not use again if its possible to avoid.
KONSTANTIN,"January 8, 2016",Bangkok Airways,7.7,Flew Economy,10.0,5,5,5,0,,,5,Yes,Very pleased with my flight from Koh samui to Phuket. Very nice little lounge with complimentary snacks and refreshments. Small meal on a 1 hour flight. safe and friendly service. Many airlines should look up to Bangkok Air . Highly recommend.
narelle,"January 7, 2016",Bangkok Airways,7.7,Flew Economy,8.0,5,3,5,0,,,3,Yes,Great staff and comfortable flight.
Jon,"November 23, 2015",Bangkok Airways,7.7,Flew Economy,1.0,1,1,3,0,,,1,No,"Living on Koh Samui I have to use this airline alot,they are really the easy jet of Thailand. My flight was changed and I would miss my conecting flight,so had to get an earlier one.The only one avilable meant I would be there 5 hours ealier.On the way back I got into the airport 5 hours easlier and asked to change my ticket to an ealier flight,I could if I want to pay 1900 baht.They can change my flight and I get nothing,if I want to change mine I have to pay 1900 baht. This happends so many times with them.The inflight food is a joke,cold chicken pie and cheap orange juice.They take out flights so often and if you get the last flight out of Bangkok,it is nrmally delayed by 2 to 4 hours.If I do not have to use this airline I would not."
Cristina,"August 9, 2023",Batik Air,5.9,Flew Economy Class,1.0,1,2,1,1,2,2,1,No,Left for 48h in Kuala Lumpur after the Batik Air flight was delayed and had to constantly chase them to get put on new flights to reach our destination. Then we find out that for some unknown reason they modified our return flights and did it incorrectly. As a result we were denied boarding on our trip home. We had to purchase new tickets leaving us out of pocket by $8000. Any attempt to contact them was left unanswered. Nobody answers on the phone or the Whatsapp so called Customer Service. No compensation was offered and no reply to our complaint. They should not have a license to operate! Avoid them at all costs.
Sophie,"July 26, 2022",Batik Air,5.9,Flew Economy Class,4.0,3,1,1,0,,,4,No,I have a list of complaints about this airline. But by far the biggest is the rude flight attendants. Both ways. Not just the one way. I put my hand up to ask a question as the flight attendant walked past and she put her hand in my face and kept walking. I’m a seasoned traveller and never experienced this kind of service before.
vrista,"March 9, 2020",Batik Air,5.9,Flew Economy Class,10.0,5,5,5,5,5,4,4,Yes,"my flight was so comfort with Batik Air. very good service! nice meal and snack,"
Dewi A. P.,"August 16, 2017",Batik Air,5.9,Flew Business,7.0,3,4,4,0,,,3,Yes,"Business class dari malang ke halim. – check in di bantu brand ambassador – tidak ada lounge khusus bussiness class – ruang tunggu dan pintu boarding dan waktu masuk pesawat tidak berbeda dengan kelas ekonomi – sebelum take off disediakan snack, jus/air putih dan hot towel. – tempat duduk nyaman, ada sandaran kepala samping yang bisa diatur dan bantal kecil – no inflight entertainment and no compensation for it. Padahal ada orang memilih batik air krn IFE walau sedikit lbih mahal drpd maskapai lainnya. Sudah berlangsung beberapa kali dn cm menerima kata maaf saja. – makanan selama flight biasa saja. Roti di piring, dan 2 jnis makanan lainnya. Bisa minta tea stlh makan. – setelan landing keluar lebih awal dr wxonomy class. Tp ambil baggage sndiri. Intinya beda di kursi sm servis makanannya aja sih kalo dibandingkan economy class."
Novan,"January 6, 2017",Batik Air,5.9,Flew Business,7.0,4,4,5,0,,,4,Yes,fly with business class with no PTV/IFE on the aircraft although the cabin staff was very friendly and the food was good
Noemi,"April 5, 2016",Batik Air,5.9,Flew Economy,1.0,1,4,1,3,,,2,No,"I am a very displeased client.We are currently waiting in Halim airport, no information is being given to us because our flight is delayed. We are being badly treated by batik air ground crew, they are mocking us. No one speaks enough English to explain to us that there is 2 and half hours of delay. We had to ask another kind passenger to translate for us. The announcements of updates for delay are not given in English and they are being disrespectfull.This is unacceptable from an air line like Batik air. I expected better customer service.Moreover, they are claiming that we cannot be compensated. I don’t think that Halim International Airport should be called “international” when no one out of 6 ground staff can explain a simple delay in English…. unacceptable from such an airline. I will not be using them again!"
Arya,"January 11, 2016",Batik Air,5.9,Flew Economy,9.0,5,5,5,4,,,4,Yes,"very good service! nice meal and snack, very comfortable seat and landing position"
Christ,"January 8, 2016",Batik Air,5.9,Flew Economy,8.0,4,4,4,4,,,4,Yes,"Compare to its sister company Lion Air – Batik Air is much better, they are quite on time (while the delayed can happen it will not take longer than 30 minutes) every time I flew from Balikpapan to Halim Perdanakusuma Jakarta. Prepare to bring your own headset to fully enjoy the in-flight entertainment if you fly economy class."
Ahmad,"December 24, 2019",Belavia,7.6,Flew Economy Class,1.0,3,3,1,1,1,,3,No,"Плохие работники в ливане , есть один работник (Моханад завут)издивается на всех (иммено студ.) Доплата за лишний вес багажа без счета!!!!! Просто ужасссс …."
Sergei,"July 27, 2018",Belavia,7.6,Flew Economy Class,9.0,4,5,4,0,,,4,Yes,"Generally – very good! We (my spouse and I) traveled from MUC to MSQ during the Soccer World Cup’2018. I have no complaints about the plane, punctuality, level of service, food. Those aspects were quite OK. However, I do not like the Schonefeld airport. And also the absence of the entertainment in the plane made the flight somewhat less exciting. Otherwise – thank uoi very much “Belavia”!"
Ekaterina,"July 8, 2016",Belavia,7.6,Flew Economy,10.0,4,5,5,0,,,4,Yes,"Minsk – Tel aviv Flight was on time, friendly stewardess. Sometimes I fly to Minsk with this company always on time, always good service."
Serge,"March 22, 2016",Belavia,7.6,Flew Business,9.0,5,5,5,0,,,3,Yes,"I traveled from MSQ to WAW in a business class, and it was perfectly OK: the flight was on time, smooth, with a good service and plenty of space (there were only two passengers in the business class). Food and drinks were sufficient, but not really memorable in any way. All in all, I was satisfied, and I will use them again once travel in Europe."
Igar,"January 5, 2016",Belavia,7.6,Flew Business,10.0,4,4,5,5,,,5,Yes,"As far as I remember this is the only company in Europe that hadn’t ever crashes. Of course the no TV on board, but on some flights the crew is intertaining passengers, once there was a band ho played on board for passengers and it was very exiting. All in all this company is for people who doesn’t bother about entertainment on board but just fly."
Eugene,"September 30, 2015",Belavia,7.6,Flew Economy,2.0,1,2,2,1,,,2,No,I flew from Budapest to Kiev with a connecting flight in Minsk in September 2015. My first flight was delayed more than for 2.5 hours.  A company representative in Minsk did not tell us the reason.
Alex,"January 11, 2015",Belavia,7.6,Flew Business,10.0,4,4,5,0,,,5,Yes,"Fantastic crew who couldn’t be nicer or more helpful. On one leg of my return flight I finished all the tea on the plane (I like tea and it was a middle-of-the-night flight, still impressed I managed that though!) so the man serving business class gave me a couple of chocolate wafers he bought at duty free as an apology and gave me the last of the tea in a polystyrene cup for me to keep it warm so I could make it last."
Diana,"December 20, 2013",Belavia,7.6,Flew Economy,10.0,5,4,5,5,,,5,Yes,"Expirienced pilots, nice and helpful cabin crew, good food. I definitely recommend to fly with them!!!! I used to fly with them 10 times! More than happy!"
Zaki,"November 28, 2023",Biman Bangladesh Airlines,6.8,Flew Economy Class,2.0,1,1,1,1,1,1,1,No,Worst airline ever. The crews are so stupid. Never-ever smile and listen if any emergency.
Shahadat,"July 28, 2022",Biman Bangladesh Airlines,6.8,Flew Economy Class,10.0,5,5,5,5,5,5,5,Yes,Good Cabin Environment. Cabin Crews are cordial & helpful. Brand New Aircraft- 787 Dreamliner.
Subon,"November 23, 2019",Biman Bangladesh Airlines,6.8,Flew Premium Economy Class,10.0,5,5,5,5,5,5,5,Yes,Top class aircraft with excellent customer service. Highly recommended
ATM,"June 1, 2019",Biman Bangladesh Airlines,6.8,Flew Economy Class,10.0,4,3,3,3,3,3,4,Yes,Good cabin service. Much helpful for disabled passengers.
MD,"March 16, 2019",Biman Bangladesh Airlines,6.8,Flew Economy Class,1.0,5,5,5,5,5,5,5,Yes,very good service. https://www.couponhosters.com
Andre,"April 1, 2017",Biman Bangladesh Airlines,6.8,Flew Economy,6.0,4,3,4,1,,,2,No,"KTM-DAC. This airline is a joke, got some last minute discount tickets, so decided to give them a try. On the ground staff don’t pay attention to your visa so anyone without proper docs could board the plane. Flight delayed by 1 hour but fully booked! service basic but crew friendly and caring, plane as old as time, time to update! The security is not taken seriously they didn’t check if people were with seat belts on. Would recommend people to think twice if they have the choice."
Imran,"August 11, 2016",Biman Bangladesh Airlines,6.8,Flew Economy,10.0,5,4,5,5,,,4,Yes,"Cabin Crews are very much helpful. On time arrival. Food is good. The main thing is customer service, as they are always smiling 🙂"
K,"August 10, 2016",Biman Bangladesh Airlines,6.8,Flew Economy,1.0,4,4,1,2,,,2,No,"Delay is regular, poor customer service,"
Rey,"January 14, 2016",Biman Bangladesh Airlines,6.8,Flew Business,8.0,5,5,5,3,,,5,Yes,As standard as any other full class airlines. This arline should grow further and open new routes.
Mr. Vijosh,"October 3, 2014",Biman Bangladesh Airlines,6.8,Flew Economy,10.0,4,5,5,4,,,5,No,"Hat’s off!!! Biman Bangladesh, hat’s off. It was on 26th of September, 2014 and it had been an amazing journey by Biman Bangladesh airlines. I’ve traveled by this airline KUL > DAC > KUL route. This was brand new B777-300ER aircraft, on-time departed  same arrival. Food list very delicious and sophisticated as well as staffs also too friendly. I strongly encourage all my Malaysian and middle-east friends to fly wherever they want by Biman Bangladesh if Biman has route and make sure  i’ll again fly from KUL to London, Manchester, Rome, Milano, Jeddah, Dubai by this growing airlines."
lemin,"April 24, 2023",Binter Canarias,5.5,Flew Economy Class,1.0,0,0,0,0,,,0,No,"My experience with this airline was extremely disappointing and my issue remains unresolved.To make matters worse, there is also a serious security concern that needs to be addressed."
Sergio,"February 23, 2021",Binter Canarias,5.5,Flew Economy Class,10.0,3,5,5,4,5,5,5,Yes,"Since the COVID crisis began, I have always been selecting this company, because of the security measures and attention they offer. Apart from how new their Embraers are, they offer free picnics, soft drinks, coffee, free checked bags and they don’t put any problem at all. It is also the only airline that operates between Galicia and the Canary Islands that allowed us to carry an 800 gram Toy Rabbit in a carrier in the cabin. The rest of the companies are prohibited. The distribution of seats is usually done by leaving the seat next to it empty, in this way they try to limit contact with other travelers, and they offer the picnic to take away. They have recently incorporated antiviral systems for the air, so they constantly renew the air with a disinfection system, which is appreciated in these times of pandemic."
I,"August 16, 2017",Blu-Express,1.0,Flew Economy,1.0,1,1,1,1,,,1,No,Terrible i had to pay a fee of 60 euro for not putting my middle name in the bookking  rude as pigs
Sara,"July 16, 2017",Blu-Express,1.0,Flew Economy,1.0,1,1,1,0,,,1,No,Extortion if you have not included your middle name on the airline ticket they will charge you 50 euros to change your ticket. This is clearly a scam as over 50 people on our flight were impacted by this. If they want you to include a middle name they need to ask for it when booking. Very unethical practice and according to the supervisor happens every flight!!
Kevin,"May 26, 2017",Blu-Express,1.0,Flew Economy,1.0,1,2,1,0,,,0,No,"WORST AIRLINE EVER!!! DO NOT fly Blue Express or Blue Panorama. Choose ANY airline other than this one. I have traveled to over 57 countries, so I have been on many airlines. I will NEVER fly this airline again."
James,"November 20, 2019",Blue Air,3.8,Flew Economy Class,1.0,1,1,1,1,,,1,No,A truly terrible airline.
razvan,"October 7, 2019",Blue Air,3.8,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,On flight OB121 from 4-10-2019 on the route Buchartest – Koln I paid a reservation ticket for preferential seat but at checkin  another random place was assigned to me  without explanation. No one answered until  now to my request to refund the money. Both on-board and check-in BlueAir staff need to learn to communicate. Extremely rude and incompetent staff.
eleanor,"April 29, 2019",Blue Air,3.8,Flew Economy Class,1.0,0,0,0,0,,,0,Yes,Turned away from boarding on Blue Air Flight due to my nut allergy. The pilot laughed as I cried! I was not permitted to fly due to my nut allergies even though we called three times in advance to make sure it’s on the manifest.
Andrei,"February 24, 2018",Blue Air,3.8,Flew Economy Class,9.0,5,5,3,0,,,5,Yes,"I flew with Blue Air, in 2014 and in 2017. In both of the flights, I see a cabin crew who does not respect you. But, in rest it is ok."
Elena,"December 12, 2017",Blue Air,3.8,Flew Economy Class,1.0,1,0,1,0,,,0,No,"Our flight was cancelled because of the weather conditions and there was nobody at their counter to tell us anything. The airport staff were sorry for us (people from 6 cancelled flights with this company) and started giving us all the phone numbers they had from them. After calling them at least 6 times and being on hold each time for at least 20 minutes, I got so many mixed information because nobody knew anything!!! After 8h since the flight was cancelled they sent a person from Romania!!! to talk with us! So they had nobody hired in the Luton airport. It was the only airline with nobody to tell us anything. In the end we flew the next day (>24h spent in Luton airport without anywhere to even sit). Some of the luggages that were checked in for the original flight got lost. In the airport we didn’t receive any voucher or anything for food and drinks (all the other companies were giving away those!!!) and the lady that finally came to answer our questions didn’t even know that the flight from Iasi actually landed in the morning!!! We knew more that she did. And she didn’t seem to understand that is not normal not to have anyone to give any information for so many hours and to have to call so many times to get anything (even if it was the wrong information!!!). I also paid for 2 breakfast (they are NOT CHEAP) and never received them."
Rebecca,"August 16, 2017",Blue Air,3.8,Flew Economy,1.0,1,1,1,1,,,1,No,"Just unbelievably bad on literally every aspect. Shoddy plane, 45 minutes late, rude arrogant staff. Lost luggage. Then impossible to locate anybody that cared or was willing to help locate cases . I will never book with this airline again"
Ken,"July 26, 2017",Blue Air,3.8,Flew Economy,9.0,4,4,4,0,,,4,Yes,"The best low cost flight we have ever been on, from Liverpool to Alacanti 18/7/17 -Both ways Take off on Time Free Drink and sandwich Leather Seats Extra Leg Room Upto 32kg Hold luggage Very friendly cabin staff"
Andy,"May 14, 2017",Blue Air,3.8,Flew Economy,1.0,1,1,1,1,,,1,No,"We travelled with BlueAir on 19.03.2017 from Iasi, Romania to London Luton. We had 3 choices: Blue air, Wizz air and Tarom. We have used Tarom and Wizz in the past and never had any problems with them; although Tarom’s aircrafts are really old they are clean. We went for the cheapest one that day”¦ expensive mistake. The aircraft was dirty; we found an empty bottle of water and a chocolate wrap in the front pocket, so obviously the cleaners or the crew didn’t do a very good job. When we arrived in Luton we went through border control straight to the conveyor belt. We collected our hold bags and we were still waiting for the baby’s pushchair. The very last thing to come on the conveyor belt was our pushchair that looked a bit unusual. When I grabbed it I realised it is badly damaged. The aluminium frame had been snapped in two in both sides. I went to show it to the lady on the desk and to fill in the forms. I was incredibly upset as it is a Â£725 Silver-Cross pushchair. The lady at the desk apologised and asked me to fill in a form. She told me that I was going to be compensated within 10 days. All I had to do was to login online on a website called “damagedluggage.com”. I’ve done th"
Im,"April 25, 2017",Blue Air,3.8,Flew Premium Economy,3.0,3,3,3,2,,,2,No,"Bluair is the only airline which requires disabled passengers i e wheelchair users to sign a disclaimer letter refusing to accept any responsibility in case harm comes to them during boarding or flight. This is a disgusting practice and should be investigated. Also, 9 times out of 10 they do not respect the rules of boarding children and disabled FIRST onto the airplane which results in chaos, disorganisation and squabbles for seats as most other passengers are already sitting on the plane.  Some staff can be rude and disrespectful towards special needs travellers. The company has to put some serious thought into future training     on this issue."
Katja,"February 28, 2017",Blue Air,3.8,Flew Economy,10.0,5,5,5,0,,,5,Yes,Have tried Blue Air for the first time from London to Cyprus  and had been a little suspicious about what to expect. But from check in to landing everything was excellent on this flight! I do have much travel experience with all kind of airlines. Blue Air surprised me in a positive way with their great service for a very good price. Even a free meal was served – which tasted like real food and was better than most I had on other flights. On top they are working with local supply companies from Cyprus which I appreciate. I would strongly recommend this airline!
Andra,"January 24, 2017",Blue Air,3.8,Flew Economy,1.0,1,2,1,0,,,2,No,"I flew with this company several times, hoping things will get better, but every time things got worst!From a minimum of 2 h delay, the delay increased this time to 2h and 45 min!!!And every time they blame it on the weather, but the other companies do not have this problem and do not have such long delays!! They somehow manage to delay their flights in such a way so you do not have the chance to get a refund or compensation!only frustration and anger!! This will be the last time I will fly with them and I will encourage everyone to choose the other airlines like Wizz Air or Tarom!"
Ionut,"January 20, 2017",Blue Air,3.8,Flew Economy,10.0,5,4,5,0,,,5,Yes,"I usually fly with Blue Air. Blue Air is the best low-cost company I’ve been flying with up to now. I never had any problems with them, you get free drinks and food on board, you can carry-on a 20 kg bag for free on the domestic flights, the ground stuff and cabin crew always polite and helpful, and the pilots rock to every landing they perform. They offer you a lot of free services for low fares, compared to other low-cost companies. It’s true some of the plains are a bit old, but that doesn’t matter as long as the flight is safe. To be really honest, I do recommend Blue Air as an airline to fly around Europe."
Julia,"January 11, 2017",Blue Air,3.8,Flew Economy,4.0,3,1,1,0,,,2,No,"Nice-Bucharest-Nice. Online checkin – can’t modify seat allocated unless you pay (unfortunately I was allocated the last row near the toilets).  No bag drop off at airport so long queues with people who hadn’t checked in on outward flight.    Flight ok, plane not new…..  My main point is about some of the cabin staff’s negative and offhand attitude.  2 in particular who were more interested in their smartphones and talking  to one another than taking care of the passengers.    Neither spoke proficient French or even English properly.  I suppose you get what you pay for….."
Dilyana,"December 4, 2016",Blue Air,3.8,Flew Premium Economy,1.0,2,3,1,0,,,0,No,"I got return flight from Malaga to Bucharest and back for myself and my 3 years old son. At the check in in Malaga we have asked if the buggy is included in the fair and they have told me “yes, of course”. I got a tag for the buggy and traveled ok. Unfortunately on the return flight just 4 days later the have told me I cannot have the buggy and if I want it I will need to pay extra. After long arguments I had to leave the buggy behind and carry my kid. Now I need to buy new one as the price they asked me to travel back with the buggy is ad much as new one cost.  It is so embarrassing what they do … How this was included in part of the trip and not back when the booking was made as return flight …. This is not the first time we face this grumpy ladies from Blue Air with their silly attitude."
Oana,"October 10, 2016",Blue Air,3.8,Flew Economy,6.0,2,4,2,0,,,0,No,"Yesterday, October 9th, when flying from Beauvais to Bucharest, even though I had checked-in online and printed the boarding passes I had a very unpleasant experience. More specifically, after waiting in line your employee gave me a hand writen note with a code and asked me to go to another desk to get some kind of a confirmation and then come back. Mean while, someone had left some unattended luggage and that part of the terminal had been blocked. I’ve asked some other employee (a Romanian lady who had no name tag and refused to tell us her name) for another solution – give a call to check the checkin/print the boarding passes for us/something. I felt deeply frustrated and furious with the lack of humanity, empathy and flexibility. Not only that she didn’t show any empathy with the fact that we might loose the plane (we arrived at the airport 1 hour and a half before the take off), but she also told me that I didn’t complete correctly the form at the online check in, so implied I was to blame for not having the boarding pass."
chris,"August 29, 2015",Blue Islands,2.0,Flew Economy,2.0,3,4,2,0,,,0,No,I travel on Blue Islands at least once a month. They are often late and I have been cancelled before as the pilot didn’t turn up. Ill I think. Last time they double allocated my seat and there was a bit of a kerfuffle before I was allowed on even though I had a proper and correct boarding pass. I’m not overly enthusiastic at the geriatric planes they use. No doubt they are cheap to buy.
Brad,"November 7, 2023",Bonza,9.5,Flew Economy Class,9.0,5,4,5,0,5,,0,Yes,"Flew from the Sunshine Coast to Albury and back again. Both flights were pleasant, the planes were clean and new and the flight crew were happy and attentive. On the return leg the check in staff went over and above in accommodating me and my daughter who were late to the airport (through no fault of my own 🙂 ). Very happy that I have this option from the Sunshine Coast."
Michael,"July 4, 2023",Bonza,9.5,Flew Economy Class,10.0,5,4,5,4,5,5,4,Yes,"I have been flying for over 50 years and found that Bonza has really opened up Australia for decent fair prices, service and overall good service from checkin to baggage on arrival. I took a flight from Newcastle to Proserpine at a cost of $75 Australian dollars. It was a 2 hour and 15 minute flight. the price of the ticket was  two thirds cheaper than Qantas and Virgin Australia. Bonza don’t fly out of Sydney but do from more localised airports like Newcastle. I am impressed. The plane was a Boeing 737 800 and was completely full. All I saw were happy faces, Keep up the great service Bonza, you have won me over."
Frank,"November 18, 2023",Breeze Airways,1.1,Flew Economy Class,2.0,3,4,4,3,,4,3,Yes,"I paid a fee to change my flight date from the 10th to the 14th. Breeze cancelled my flight and gave me a new travel date, sending me out on the 12th.  I asked for was a refund of the fee I had paid to change my travel dates. I paid them to travel on the 14th, they took my money, then changed my travel dates and refused to refund my change-of-date fee."
Donna,"July 18, 2023",Breeze Airways,1.1,Flew Economy Class,1.0,0,0,0,0,1,,0,No,"I flew on Breeze Airways on July 4, 2023 from BDL to LAX with a stop in Jacksonville (I did not have to get off the plane).  When I arrived in LAX one of my suitcases was missing.  It had been mislabeled by the airlines and taken off the flight in Jacksonville.  I was told it would be sent on the next available flight, which would have been July 6th.  It is now July 17th and still no bag.  I have left over 40 messages via text, Messenger and email with no response.  I have no idea where my bag is, if I will get it and if I will be compensated for it if they completely lost it.  I can’t get a hold of anyone.  This is the worst customer service I have ever seen in an airlines.  They have completely ghosted me on all three platforms of communication. There is no direct phone number so I am absolutely helpless.  I filed a complaint with the Better Business Bureau and Department of Transportation."
Arlena,"June 12, 2023",Breeze Airways,1.1,Flew Economy Class,1.0,1,3,1,1,1,2,1,No,Worst travel experience- I take a minimum of a dozen flights a year. I’m willing to do most anything for a travel opportunity. I will never fly Breeze again. Multiple postponement on the same flight. Incorrect information send out via text. Lost bag ( 5 days as of now) no communication. They literally have no phone number to call. Ever airports can’t reach them. I e had to drive hours to go find my bags just to find no one at the desk. Absolutely horrible. No amount of savings is worth this .
Steve,"April 11, 2023",Breeze Airways,1.1,Flew First Class,1.0,1,0,0,0,3,3,0,No,"Cancelled flight after 3 hours of delays, too late to have the chance of re-booking the same day. Any Breeze option was 2 days out and frankly, do not trust that flight will actually happen. No customer support, the app they refer you is very poor and does not offer any solutions. Airline has proved to be extremely unreliable and not worth any savings, as it will end up costing you in the long run. Had high hopes for the HPN -> LAX direct route, delays and cancellations each time I’ve given them a chance."
Su,"April 11, 2023",Breeze Airways,1.1,Flew Economy Class,1.0,1,0,0,1,1,,1,No,On our flight with Breeze recently we experienced significant problems.
Juli,"March 9, 2023",Breeze Airways,1.1,Flew First Class,1.0,2,4,2,1,,1,1,No,"They are either seriously late 100 percent of the time. Or they cancel the flight altogether, which they did for my LAX to Westchester, NY flight four nights in a row. The weather was fine. That was not the issue. In fact, I am a very frequent flyer and know that when I’m saying that I have no idea what their problem is, it means their operations are positively abysmal. Also, on the few flights I successfully took on Breeze, in their ‘first class’ cabin, your first snack is free but if you want a second snack, it’s $9.00. This is all you are given for a six hour flight. So, my Chex Mix bag was included, but when I asked for the M&M’s too, they charged $9. Needles to say, it was an M&M-less flight for me."
